token_id,market,equipment,boost,location,skill,minted,image,owner
1,bigbangx,TNT,Standard,Jungle Night,133,1/1/2024,https://raw.githubusercontent.com/lbunproject/BASEswap-api-price/main/public/nft_img/TSJ.jpg,terra14qw6763tardp85dw7w65l8lu3jf4keetyksac6
2,bigbangx,Excavator,Precision Control,Deep Mine,180,1/1/2024,https://raw.githubusercontent.com/lbunproject/BASEswap-api-price/main/public/nft_img/EPM.jpg,terra1rmsyw9cn2d4jgpgn6emzxjjjfq4wwkwt042h94
3,bigbangx,Excavator,Standard,City Night,167,1/1/2024,https://raw.githubusercontent.com/lbunproject/BASEswap-api-price/main/public/nft_img/ESC.jpg,terra1q5t3lshfnam6ra70cw44wq9mkrdx3wxksjxmq6
4,bigbangx,Excavator,Big Scoop,Jungle Night,170,1/1/2024,https://raw.githubusercontent.com/lbunproject/BASEswap-api-price/main/public/nft_img/EBJ.jpg,terra1q5t3lshfnam6ra70cw44wq9mkrdx3wxksjxmq6
5,bigbangx,Excavator,Extended Reach,City Night,173,1/1/2024,https://raw.githubusercontent.com/lbunproject/BASEswap-api-price/main/public/nft_img/ERC.jpg,terra1q5t3lshfnam6ra70cw44wq9mkrdx3wxksjxmq6
6,bigbangx,Excavator,Precision Control,Lunar Moon,180,1/1/2024,https://raw.githubusercontent.com/lbunproject/BASEswap-api-price/main/public/nft_img/EPL.jpg,terra1q5t3lshfnam6ra70cw44wq9mkrdx3wxksjxmq6
7,bigbangx,TNT,Supernova,City Night,147,1/1/2024,https://raw.githubusercontent.com/lbunproject/BASEswap-api-price/main/public/nft_img/TNC.jpg,terra1q5t3lshfnam6ra70cw44wq9mkrdx3wxksjxmq6
8,bigbangx,TNT,Standard,Jungle Night,133,1/1/2024,https://raw.githubusercontent.com/lbunproject/BASEswap-api-price/main/public/nft_img/TSJ.jpg,terra1q5t3lshfnam6ra70cw44wq9mkrdx3wxksjxmq6
9,bigbangx,Excavator,Precision Control,City Night,180,1/1/2024,https://raw.githubusercontent.com/lbunproject/BASEswap-api-price/main/public/nft_img/EPC.jpg,terra1punu2gpsh5kppwm4hjnpparkt2klc49h7n0pt5
10,bigbangx,Excavator,Precision Control,Jungle Night,180,1/1/2024,https://raw.githubusercontent.com/lbunproject/BASEswap-api-price/main/public/nft_img/EPJ.jpg,terra1punu2gpsh5kppwm4hjnpparkt2klc49h7n0pt5
11,bigbangx,Excavator,Big Scoop,City Night,170,1/1/2024,https://raw.githubusercontent.com/lbunproject/BASEswap-api-price/main/public/nft_img/EBC.jpg,terra1c9xwzxtfs7s8yd4a2xypgv2mdvay62cql02f07
12,bigbangx,TNT,Chain Reaction,Deep Mine,140,1/1/2024,https://raw.githubusercontent.com/lbunproject/BASEswap-api-price/main/public/nft_img/TRM.jpg,terra1q5t3lshfnam6ra70cw44wq9mkrdx3wxksjxmq6
13,bigbangx,Excavator,Big Scoop,Lunar Moon,170,1/1/2024,https://raw.githubusercontent.com/lbunproject/BASEswap-api-price/main/public/nft_img/EBL.jpg,terra1q5t3lshfnam6ra70cw44wq9mkrdx3wxksjxmq6
14,bigbangx,Excavator,Extended Reach,Jungle Night,173,1/1/2024,https://raw.githubusercontent.com/lbunproject/BASEswap-api-price/main/public/nft_img/ERJ.jpg,terra1q5t3lshfnam6ra70cw44wq9mkrdx3wxksjxmq6
15,bigbangx,Excavator,Extended Reach,Deep Mine,173,1/1/2024,https://raw.githubusercontent.com/lbunproject/BASEswap-api-price/main/public/nft_img/ERM.jpg,terra14t35sq909x2khre3tgq00ay45sfg0n58v6vg8a
16,bigbangx,TNT,Supernova,Lunar Moon,147,1/1/2024,https://raw.githubusercontent.com/lbunproject/BASEswap-api-price/main/public/nft_img/TNL.jpg,terra1q5t3lshfnam6ra70cw44wq9mkrdx3wxksjxmq6
17,bigbangx,Jackhammer,Shockwave,Jungle Night,130,1/1/2024,https://raw.githubusercontent.com/lbunproject/BASEswap-api-price/main/public/nft_img/JWJ.jpg,terra1q5t3lshfnam6ra70cw44wq9mkrdx3wxksjxmq6
18,bigbangx,TNT,Supernova,Jungle Night,147,1/1/2024,https://raw.githubusercontent.com/lbunproject/BASEswap-api-price/main/public/nft_img/TNJ.jpg,terra1am3zqx650xz25uw0a7c98347elzdv38nf44pzs
19,bigbangx,TNT,Supernova,Jungle Night,147,1/1/2024,https://raw.githubusercontent.com/lbunproject/BASEswap-api-price/main/public/nft_img/TNJ.jpg,terra1am3zqx650xz25uw0a7c98347elzdv38nf44pzs
20,bigbangx,Pick & Shovel,Jedi,Deep Mine,113,1/1/2024,https://raw.githubusercontent.com/lbunproject/BASEswap-api-price/main/public/nft_img/PJM.jpg,terra1q5t3lshfnam6ra70cw44wq9mkrdx3wxksjxmq6
21,bigbangx,Pick & Shovel,Jedi,City Night,113,1/1/2024,https://raw.githubusercontent.com/lbunproject/BASEswap-api-price/main/public/nft_img/PJC.jpg,terra1q5t3lshfnam6ra70cw44wq9mkrdx3wxksjxmq6
22,bigbangx,Pick & Shovel,Jedi,Jungle Night,113,1/1/2024,https://raw.githubusercontent.com/lbunproject/BASEswap-api-price/main/public/nft_img/PJJ.jpg,terra1q5t3lshfnam6ra70cw44wq9mkrdx3wxksjxmq6
23,bigbangx,Pick & Shovel,Jedi,Lunar Moon,113,1/1/2024,https://raw.githubusercontent.com/lbunproject/BASEswap-api-price/main/public/nft_img/PJL.jpg,terra1q5t3lshfnam6ra70cw44wq9mkrdx3wxksjxmq6
24,bigbangx,Excavator,Extended Reach,Lunar Moon,173,1/1/2024,https://raw.githubusercontent.com/lbunproject/BASEswap-api-price/main/public/nft_img/ERL.jpg,terra199krtqdrxphhrg5r2adle46nyhza73w39k64d0
25,bigbangx,Excavator,Big Scoop,Deep Mine,170,1/1/2024,https://raw.githubusercontent.com/lbunproject/BASEswap-api-price/main/public/nft_img/EBM.jpg,terra199krtqdrxphhrg5r2adle46nyhza73w39k64d0
26,bigbangx,Excavator,Standard,Lunar Moon,167,1/1/2024,https://raw.githubusercontent.com/lbunproject/BASEswap-api-price/main/public/nft_img/ESL.jpg,terra1yk9p3q03ux2tvhuetqedv6kqvntas62eszghm2
27,bigbangx,Excavator,Standard,Deep Mine,167,1/1/2024,https://raw.githubusercontent.com/lbunproject/BASEswap-api-price/main/public/nft_img/ESM.jpg,terra154ns0jnajcjvc4wjjrza020gaux2lzd7rwaf45
28,bigbangx,Excavator,Standard,Jungle Night,167,1/1/2024,https://raw.githubusercontent.com/lbunproject/BASEswap-api-price/main/public/nft_img/ESJ.jpg,terra1e7cgsnutds9xnvamjmydqfxgh9zcak5rkmrcef
29,bigbangx,TNT,Timed Detonation,City Night,137,1/1/2024,https://raw.githubusercontent.com/lbunproject/BASEswap-api-price/main/public/nft_img/TTC.jpg,terra1q5t3lshfnam6ra70cw44wq9mkrdx3wxksjxmq6
30,bigbangx,Jackhammer,Shockwave,Lunar Moon,130,1/1/2024,https://raw.githubusercontent.com/lbunproject/BASEswap-api-price/main/public/nft_img/JWL.jpg,terra1q5t3lshfnam6ra70cw44wq9mkrdx3wxksjxmq6
31,bigbangx,Jackhammer,Rapid Strike,Lunar Moon,123,1/1/2024,https://raw.githubusercontent.com/lbunproject/BASEswap-api-price/main/public/nft_img/JRL.jpg,terra1q5t3lshfnam6ra70cw44wq9mkrdx3wxksjxmq6
32,bigbangx,TNT,Supernova,Lunar Moon,147,1/1/2024,https://raw.githubusercontent.com/lbunproject/BASEswap-api-price/main/public/nft_img/TNL.jpg,terra1yplwrktw2u047nv9eupdjghef0t4a7zu4dmntt
33,bigbangx,Pick & Shovel,Diamond,Jungle Night,107,1/1/2024,https://raw.githubusercontent.com/lbunproject/BASEswap-api-price/main/public/nft_img/PDJ.jpg,terra1c9xwzxtfs7s8yd4a2xypgv2mdvay62cql02f07
34,bigbangx,TNT,Chain Reaction,Deep Mine,140,1/1/2024,https://raw.githubusercontent.com/lbunproject/BASEswap-api-price/main/public/nft_img/TRM.jpg,terra199krtqdrxphhrg5r2adle46nyhza73w39k64d0
35,bigbangx,Pick & Shovel,Diamond,Lunar Moon,107,1/1/2024,https://raw.githubusercontent.com/lbunproject/BASEswap-api-price/main/public/nft_img/PDL.jpg,terra199krtqdrxphhrg5r2adle46nyhza73w39k64d0
36,bigbangx,Pick & Shovel,Standard,Deep Mine,100,1/1/2024,https://raw.githubusercontent.com/lbunproject/BASEswap-api-price/main/public/nft_img/PSM.jpg,terra199krtqdrxphhrg5r2adle46nyhza73w39k64d0
37,bigbangx,TNT,Supernova,Lunar Moon,147,1/1/2024,https://raw.githubusercontent.com/lbunproject/BASEswap-api-price/main/public/nft_img/TNL.jpg,terra1549k2d20unr8sdu2dka66630w4fzmz486gqa0d
38,bigbangx,TNT,Supernova,Lunar Moon,147,1/1/2024,https://raw.githubusercontent.com/lbunproject/BASEswap-api-price/main/public/nft_img/TNL.jpg,terra1549k2d20unr8sdu2dka66630w4fzmz486gqa0d
39,bigbangx,TNT,Chain Reaction,Deep Mine,140,1/1/2024,https://raw.githubusercontent.com/lbunproject/BASEswap-api-price/main/public/nft_img/TRM.jpg,terra1axzc2m8le5sdckv2230jsgsxjkp5ufwp5rfqq2
40,bigbangx,TNT,Supernova,Deep Mine,147,1/1/2024,https://raw.githubusercontent.com/lbunproject/BASEswap-api-price/main/public/nft_img/TNM.jpg,terra10kfyqjl8ue8682er4x2g98tg6y3wjl4cz4rv6t
41,bigbangx,TNT,Supernova,Deep Mine,147,1/1/2024,https://raw.githubusercontent.com/lbunproject/BASEswap-api-price/main/public/nft_img/TNM.jpg,terra10kfyqjl8ue8682er4x2g98tg6y3wjl4cz4rv6t
42,bigbangx,TNT,Supernova,Deep Mine,147,1/1/2024,https://raw.githubusercontent.com/lbunproject/BASEswap-api-price/main/public/nft_img/TNM.jpg,terra10kfyqjl8ue8682er4x2g98tg6y3wjl4cz4rv6t
43,bigbangx,TNT,Supernova,Deep Mine,147,1/1/2024,https://raw.githubusercontent.com/lbunproject/BASEswap-api-price/main/public/nft_img/TNM.jpg,terra10kfyqjl8ue8682er4x2g98tg6y3wjl4cz4rv6t
44,bigbangx,TNT,Chain Reaction,Deep Mine,140,1/1/2024,https://raw.githubusercontent.com/lbunproject/BASEswap-api-price/main/public/nft_img/TRM.jpg,terra1he5d7vstkw6kq9zecaexh9glkc0c6pfzskgqp8
45,bigbangx,TNT,Chain Reaction,Lunar Moon,140,1/1/2024,https://raw.githubusercontent.com/lbunproject/BASEswap-api-price/main/public/nft_img/TRL.jpg,terra1he5d7vstkw6kq9zecaexh9glkc0c6pfzskgqp8
46,bigbangx,Pick & Shovel,Gold,Deep Mine,103,1/1/2024,https://raw.githubusercontent.com/lbunproject/BASEswap-api-price/main/public/nft_img/PGM.jpg,terra1he5d7vstkw6kq9zecaexh9glkc0c6pfzskgqp8
47,bigbangx,Jackhammer,Shockwave,Lunar Moon,130,1/1/2024,https://raw.githubusercontent.com/lbunproject/BASEswap-api-price/main/public/nft_img/JWL.jpg,terra1yplwrktw2u047nv9eupdjghef0t4a7zu4dmntt
48,bigbangx,Jackhammer,Turbocharged,City Night,120,1/1/2024,https://raw.githubusercontent.com/lbunproject/BASEswap-api-price/main/public/nft_img/JTC.jpg,terra1q5t3lshfnam6ra70cw44wq9mkrdx3wxksjxmq6
49,bigbangx,Jackhammer,Standard,Lunar Moon,117,1/1/2024,https://raw.githubusercontent.com/lbunproject/BASEswap-api-price/main/public/nft_img/JSL.jpg,terra1q5t3lshfnam6ra70cw44wq9mkrdx3wxksjxmq6
